Project 	PO_Net Value 	GRN_Net Value
A. 109 VAB_Inactive	26108.992	23211.18
A. 261 CBM_Inactive	13823	48
A. 269 OETC	1831736.951	975583.591
A. 269 OETC_Inactive	1800.75	0
A. 273 FBK	553644.97	330446.228
A. 273 FBK_Inactive	1161992.095	657238.453
A. 274 DPC	266943.09	266943.09
A. 275 STF	109272.396	74975.906
A. 275 STF_Inactive	380376.156	86640.786
A. 276 MTC	142.448	142.448
A. 276 MTC_Inactive	70149.955	57531.734
A. 278 ABC-II	91993.448	72992.634
A. 278 ABC-II_Inacti	626703.123	113307.368
A. 282 PCA	216936.435	189017.922
A. 282 PCA_Inactive	164078.93	13054
A. 286 IGHQ_Inactive	245.63	0
A. 287 LPC_Inactive	1413.656	0
A. 288 LSTF_Inactive	1662	0
A. 289 ISTF_Inactive	1301.832	0
A. 290 ASTF_Inactive	196	0
A. AFW	63878.038	55142.136
A. Misc Clients_Inac	943.52	943.52
AC Maint	858402.918	529930.515
AD. 001 HAN	5253537.635	5059160.57
AD. 002 SHC	5981995.445	3534274.209
AEFC	83755.961	61889.35
AFS - FMT	32915.837	20971.337
AFS - KEC	133182.509	90814.327
AFS - OLA	1260	1260
AFS OFFICE - IT	28957.5	26804.7
AFS-RAG	24000	0
AFW	176232989.4	89559002.67
AIMS-ACA	136258.289	116891.639
AIMS-BARKA	789393.889	555065.254
AIMS-CLO	25634000	15528000
AIMS-HO	6706579.713	4094703.801
AKIS-PF	28722.298	17916.148
ALLIED WORKS	20859296.69	8657776.919
AMF	713698.051	541072.725
AMG	269721.157	213901.614
AMSP-BC	570008.826	426733.243
AMSP-HO	32096659.75	17603631.15
AMSP-HO-OLA	661.5	661.5
AMSP-VETC-BARKA	580668.171	423469.096
ARCB	125141903.9	25927062.05
AWP	3300	3300
BF	905663.259	151837.679
BNS	7041966.869	3044035.83
BTHO	112815.8	8547
CAMP YCC	442087.013	4616.226
CAMP-BNS	1238594.133	465956.739
CUIHO	217817.12	98725.001
CWH-BARKA	238124499.1	116684557.3
CWH-GALA	10472929.87	37296082.23
CWS	64501664.68	28109442.64
Camp I	20809.284	13490.549
Camp II	19079.225	12692.08
Camp-Halban	751917.467	380382.181
Camp-MSD	46404.45	38728.16
D. 1001 CBSN	12355	7355
D. 1018 CSAB	1550	1550
D. 1019	24700	14000
D. 1022	6495.36	5145
D. 1028	1350	1350
D. 1029	1995	1995
D. 1038	1425	0
D. 1043	1425	0
D. 1045	1425	712.5
D. 1047	1425	0
D. 1055	1425	712.5
D. 1062	1600	0
D. 1073	45848.409	37848.409
D. 1084	24000	20000
D. 1116	8731.305	8731.305
DCRUSHER	1096337.885	784450.543
EPS 3D	7158.59	4827.79
FAB	53924131.5	20565116.82
GNC	32866.59	13174.03
Gen. Maint	152017.811	122511.562
IEC.1000	1904120.174	1452550.005
INSIGHT	51418.507	28137.199
J. 109 VAB_inactive	31110	8713.174
J. 255 PAC	1081.924	454.124
J. 255 PAC_inactive	67271.58	16424.949
J. 269 OETC	62797	47459.767
J. 269 OETC_Inactive	34709.5	7660.625
J. 273 FBK	7977.211	7873.725
J. 273 FBK_Inactive	46580.95	9226.947
J. 275 STF	286638.02	171122.575
J. 275 STF_Inactive	274569.191	30772.053
J. 276 MTC_Inactive	6329.88	4520.36
J. 278 ABC-II	420	420
J. 278 ABC-II_Inacti	85351.859	31590.614
J. 279 NAK_Inactive	364.8	0
J. 282 PCA	57169.445	45726.951
J. 283 RSTF_Inactive	2326.95	2314.772
J. 285 QSTF_Inactive	9511.53	4325.056
J. 288 LSTF	11371	5259
J. 288 LSTF_Inactive	14365	2405
J. 289 ISTF	7147.13	5353.29
J. 289 ISTF_Inactive	16683.2	4719.772
J. 290 ASTF	3912.5	1934.4
J. 290 ASTF_Inactive	5813.2	3219.772
J. CWS	859801.469	690494.323
J. CWS_Inactive	196296.245	8454.116
J. FAB_Inactive	190	190
KAYAT - HO	285.6	285.6
KAYAT - NAK	39485.48	15067.3
LFCM	21197.032	16519.653
MAINTENANCE AT AMV	20781.779	16271.858
MCC	90282.566	32011.745
MDV	276033.774	108330.566
ML-ADK	4127.479	4127.475
ML-TRADING	2068979.801	1213818.342
MW GHALA	5549237.903	4830937.9
Mech. Workshop	193834433.4	144246096.8
N. FMT	3123411.745	1092300.381
NGF - A	10404381.7	7927193.187
NPMV	148678	0
NR. 101 QUR	2238.888	731.638
NR. 103 VAA	297530.732	239884.157
NR. 104 EVW	61523.671	42574.417
NR. 105 VAK	553904.726	364801.465
NR. 106 VAJ	92435.485	50386.338
NR. 107 BSM	5848.1	4276.655
NR. 108 MH	82082.091	37317.795
NR. 109 VAB	697836.431	340859.828
NR. 111 AHM	2670800.468	2501597.922
NREIFS	30150.988	0
NRMF	7342855.413	3812067.594
NRMG	29059472	15084972.85
NRMS	2275371.919	990187.812
NRSS	780343.738	383634.848
NRT	252974395.7	121394107.8
NRW	102765260.8	39352982.48
OFFICE - AFS	25676	12990.37
OFFICE- ADANTE	212492.206	4039.86
OFFICE-ADK	24062370.88	17310725.45
OFFICE-ADK DEVELOPER	789290.211	569233.91
OFFICE-AKJ	4812.75	2204.25
OFFICE-ALRASD	761.25	761.25
OFFICE-IT	11319261.15	8222275.025
OFFICE-NRE	1042	30
P. 206 NYC	4907.605	3028.315
P. 211 IICS	440	440
P. 215 HIJ	4315.55	1622.73
P. 224 SBG	49.85	8.65
P. 226 BAR	1132.4	1132.4
P. 227 FLC	518772.114	282072.478
P. 228 CDH	6813.875	6637.875
P. 230 GOB	8926.705	2929.565
P. 231 MECA	6786229.856	4134997.093
P. 232 JBZ	3721.534	2346.05
P. 234 WET	8535.314	7217.814
P. 235 MOHE	3072716.552	1637612.289
P. 238 MB	692.88	692.88
P. 239 IE	90348.525	71991.9
P. 240 SPL	784	371
P. 241 KOM4	538685.895	360778.476
P. 242 HYHQ	16238907.89	5911362.444
P. 243 EMS	189253.862	133984.396
P. 244 BCC	8659643.396	4493311.783
P. 246 PPB	1115546.334	659192.58
P. 247 CBG	180355.193	122210.218
P. 248 QE	61.38	61.38
P. 249 SU	28303563.6	14218049.84
P. 252 ABC	909558.498	578629.197
P. 255 PAC	22739375.88	12336618.81
P. 256 VAM	236261.297	171353.392
P. 257 OCA	13567201.56	7036142.606
P. 258 VAQ	1160388.467	731262.22
P. 260 CBO	66195.008	51834.286
P. 261 CBM	7472288.987	4176409.016
P. 262 PCB	5809191.766	2915040.44
P. 264 PCY	3946393.865	2552188.551
P. 266 VQS	3449005.349	1758858.773
P. 267 TRC	5663019.267	2853035.53
P. 268 CBO2	85100352.89	48559726.82
P. 269 OETC	5927430.445	3216508.777
P. 270 MSD	9521896.783	4482449.794
P. 273 FBK	11054901.13	6473566.158
P. 274 DPC	61149544.34	27387723.44
P. 275 STF	56910549.46	25129795.24
P. 276 MTC	84581574.78	34962595.73
P. 277 AMK	236783.699	232437.501
P. 278 ABC-II	5488452.769	3244446.864
P. 279 NAK	63806269.74	56203813.53
P. 280 DUQ	8592.76	0
P. 281 BWR	247933.594	113261.162
P. 282 PCA	20358104.65	9026432.313
P. 283 RSTF	27811209.92	15544818.73
P. 284 SSTF	22863241.36	10833561.98
P. 285 QSTF	32157140.65	13016980.81
P. 286 IGHQ	185889.117	62995.789
P. 287 LPC	26519598.21	13380752.01
P. 288 LSTF	38375660.17	16260023.43
P. 289 ISTF	38641904.27	18078950.15
P. 290 ASTF	30703712.17	14775554.73
P. 291 MSN	801269.083	460547.857
P. 292 STF-II	8697827.721	4634435.261
P. 293 RSTF-II	11910279.77	6011785.931
P. 294 SSTF-II	14946463.34	8031678.162
P. 295 QSTF-II	14386042.07	6569817.234
P. 296 LSTF-II	10661359.01	4466372.231
P. 297 ISTF-II	10083460.06	5185517.635
P. 298 ASTF-II	10354913.41	5511950.526
P. 299 MMS	1977.4	1493.7
P. 300 OCA2	4957114.696	2628403.065
P. 301 NPC	30766999.1	13900690.44
P. 302 SNV	771839.088	444472.279
P. 303 KMBP	22788818.8	10087016.01
P. 304 BPC	14358307.33	6368827.473
P. 305 RPC	14068319.29	6970941.517
P. 306 DSTF	50849740.14	21928827.22
P. 307 QSTF III	1388346.996	749658.526
P. 308 STF III	2036828.473	1000280.068
P. 309 RSTF III	1545318.712	606709.119
P. 310 NGF	1677331.202	1224129.845
P. 312 HRHQ	492057108.6	29723336.94
P. 313 KSTF	102412452.5	24865403.38
P. 314 SRHQ	64759947.01	26903707.92
P. 315 BWBF	5521295.794	1655351.173
P. 316 OAR	21144.344	6992.094
P. 317 HPC	16808385.45	7264454.979
P. 318 KVS	1314974.866	458562.446
P. 319 HRHQ II	1389.9	1389.9
P. 320 KSTF II	208565.663	168960.256
P. 321 QSTF IV	269434.79	222538.555
P. 322 NGF2	831610.504	196340.119
P. 323 OIUC	281464.86	119792.316
P. 325 SNF	575222.822	234809.993
P. 326 BWA	767277.43	62448.11
P. 328 ABK	18960689.39	1171693.126
P. 329 NPA	30601.968	13178.248
P. 329 WPCA	69400178.01	30465474.01
P. 331 ABD	7900634.886	3747614.222
P. 333 NPC II	4504658.103	2076483.636
P. 334 CBA	13924499.32	7046618.34
P. 335 QSTF-V	4407494.218	1969367.589
P. 336 OCG	920542.734	420832.726
P. 337 CPK	341756.334	158952.759
P. 338 OWA	22255883.16	2674770.273
P. 339 QSTF VI	602411.643	304719.281
P. 340 CRB	5378887.237	2617516.669
P. 341 MDP	80167037.67	32913370.18
P. 342 WPCA-II	491102.23	282991.878
P. 343 VWA	59264.968	19203.376
P. 344 HRHQ III	120473.492	79544.66
P. 346 MDP II	61104810.27	25801709.54
P. 347 RPG	38509.763	27183.834
P. 348 HPG	46149535.5	28590267.17
P. 349 DPC-II	3800766.391	1255068.144
P. 350 NPC III	4926054.78	2882767.219
P. 351 HTI	5270038.088	2899500.817
P. 352 STF-IV	373755.388	169675.703
P. 353 RSTF-IV	301621.305	155080.461
P. 354 SSTF-III	529270.483	263160.142
P. 355 ISTF-III	314026.172	165251.468
P. 356 ASTF-III	444436.261	186815.602
P. 357 DSTF-II	441958.309	171333.079
P. 358 KSTF-III	494216.491	183199.356
P. 359 KTI	4339418.034	2086867.645
P. 360 AFT	316075.696	212740.118
P. 361 PPQ	6130273.332	3357380.396
P. 362 SPB	54410.558	16255.552
P. 363 ISHC	57388115.42	26445835.51
P. 364 BFH	556407.053	324188.336
P. 366 MNB	511.5	500
P. 368 NPC IV	39212.168	32642.128
P. 369 BCA	21938338.99	9566621.645
P. 370 WPCA-IV	427999.946	339568.113
P. 371 IWA	9629738.572	2774273.256
P. 372 TBR	90519.281	40565.064
P. 373 WSD	93957.51	37581.224
P. 374 AHA	668050.63	237915.539
P. 375 DTV	178860.554	94415.399
P. 376 CIS	18908593.45	12998395.66
P. 378 SRV	13757194.97	7680943.605
P. 380 CLO	266785.247	154568.735
P. 381 ACA	36049.301	21996.771
P. 382 MCM	3166.403	1495.82
P. 383 EAB	16446778.26	10545020.65
P. 384 WPCA-V	28148.353	12154.375
P. 385 DGS	109695.142	36336.53
P. 386 MGS	305985.538	137518.436
P. 387 RRK	17407348.8	6348758.934
P. 388 MPM	13422283.49	6906282.66
P. 389 PWB	1287905.176	1240559.425
P. 390 ABH	3339514.859	1693208.943
P. 391 PPM	33959692.88	15347313.13
P. 392 CLA	28091538.5	13837313.55
P. 393 CRO	509610.68	337435.159
P. 394 - APH	48901.29	31199.289
P. 395 ACL	12935.77	9397.724
P. 396 TIS	17485587.61	10195969.19
P. 397 MWG	135901.599	85622.131
P. 398 - ISHC-III	5990686.169	1621966.72
P. 399 DBK	32307863.04	7486656.742
P. 400 CSD	3084304.719	1827003.762
P. 401 RBA	225803.28	98811.714
P. 402 IGA	3484522.658	452656.27
P. 403 ZRB	6534462.199	1528487.474
P. 404 YRS	378749.247	31847.746
P. 405 RAM	16972.327	14900.136
P. 406 RMV	495.075	330.96
P. 407 CRV	491607.508	16962.67
P. 409 AMD	8896.26	0
P. 410 CMS	15336.497	1077.3
PD	23203.46	12226.1
PID. 101	54	54
PMAINT	3413147.956	981669.611
PMV	5836219.117	4871530.175
PT. 104 SCK	1550.053	275.052
PT. 105 LUQ	1745.854	469.122
PT. 106 KPW	573.5	573.5
PT. 107 ISHC	24567.885	21167.665
PT. 108 BPR	18316.922	12422.305
PT. 109 BPM	14082.246	7868.32
R. 101 SPB	67562.177	24876.448
R. 102 MNB	11694.976	897.36
R. 104 TBR	4093635.249	2069826.401
R. 105 RWA	97533.129	33918.162
R. 106 MVP	329674.433	123710.283
RNS	1609297.644	867770.08
SCAFFOLD	24961370.23	5119798.228
T. 101 SCG	453177.013	347680.922
T. 102 NAK	6061122.532	3840540.293
T. 103 DQM	2730.07	2730.07
T. 104 SCK	757415.5	261805.808
T. 105 LUQ	21180	17699.06
T. 106 KPW	92446.704	10631.784
T. 107 ISHC	497732.76	354669.858
T. 108 BPR	1415202.949	941335.358
T. 109 BPM	1133219.576	801748.416
T. 110 BPK	357332.521	255728.163
TC. BNS	8992.607	6082.681
TCSHO	400835.275	412929.46
TFF. 100 - NGF	1345373.041	507446.622
TFHO	6064275.897	3662356.803
TI. 101 CRD	11195.001	7555
TRANSPORT	17585105.66	13272040.49
WMF	1591662.19	1434024.391
